year,population,density_km2,arrondissement
1861,89519,48917,1
1866,81665,44626,1
1872,74286,40593,1
1936,38436,NA,1
1954,38926,21271,1
1962,36543,20013,1
1968,32332,17706,1
1975,22793,12482,1
1982,18509,10136,1
1990,18360,10055,1
1999,16888,9228,1
2006,17745,9697,1
2009,17614,9651,1
2011,17443,9532,1
2017,16395,8959,1
1861,81609,82267,2
1872,73578,74321,2
1936,41780,42202,2
1954,43857,44300,2
1962,40864,41194,2
1968,35357,35642,2
1975,26328,26540,2
1982,21203,21374,2
1990,20738,20905,2
1999,19585,19743,2
2006,21259,21474,2
2011,22927,23158,2
2017,21042,21254,2
1861,99116,84642,3
1872,89687,76656,3
1936,66233,56609,3
1954,65312,55822,3
1962,62680,53527,3
1968,56252,48038,3
1975,41706,35616,3
1982,36094,30823,3
1990,35102,29976,3
1999,34248,29247,3
2006,34721,29676,3
2011,36120,30872,3
2017,34389,29392,3
1861,108520,67783,4
1872,95003,59377,4
1936,70944,44340,4
1954,66621,41638,4
1962,61670,38520,4
1968,54029,33747,4
1975,40466,25275,4
1982,33990,21230,4
1990,32226,20129,4
1999,30675,19160,4
2006,29138,18211,4
2011,27887,17429,4
2017,28370,17731,4
1861,107754,NA,5
1866,104083,NA,5
1872,96689,38067,5
1911,121378,47768,5
1936,107120,42173,5
1954,106443,41907,5
1962,96031,37793,5
1968,83721,32948,5
1975,67668,26630,5
1982,62173,24468,5
1990,61222,24094,5
1999,58849,23160,5
2006,61475,24203,5
2011,60800,23937,5
2017,59631,23477,5
1861,95031,NA,6
1866,99115,NA,6
1872,90288,41994,6
1911,102993,47815,6
1954,88200,41023,6
1962,80262,37262,6
1968,70891,32911,6
1975,56331,26152,6
1982,48905,22704,6
1990,47891,22234,6
1999,44919,20854,6
2006,45278,21060,6
2011,43880,20409,6
2017,41976,19524,6
1861,72965,NA,7
1866,75438,NA,7
1872,78553,19206,7
1926,110684,27075,7
1954,104412,25529,7
1962,99584,24360,7
1968,87811,21480,7
1975,74250,18163,7
1982,67461,16502,7
1990,62939,15396,7
1999,56985,13940,7
2006,56612,13842,7
2011,57786,14128,7
2017,52193,12761,7
1861,69814,NA,8
1866,70259,NA,8
1872,75796,19535,8
1891,107485,27695,8
1954,80827,20827,8
1962,74577,19216,8
1968,67897,17495,8
1975,52999,13656,8
1982,46403,11956,8
1990,40814,10516,8
1999,39314,10130,8
2006,39088,10074,8
2011,40589,10461,8
2017,37368,9631,8
1861,107326,NA,9
1866,106221,NA,9
1872,103767,47600,9
1901,124011,56912,9
1954,102287,46921,9
1962,94094,43182,9
1968,84969,38994,9
1975,70270,32249,9
1982,64134,29433,9
1990,58019,26626,9
1999,55838,25626,9
2006,58497,26833,9
2009,60275,27649,9
2011,60120,27578,9
2017,60071,27556,9
1861,113571,39271,10
1866,116438,40262,10
1872,131730,45550,10
1881,159809,55259,10
1962,124497,43049,10
1968,113372,39202,10
1975,94046,32519,10
1982,86970,30073,10
1990,90083,31149,10
1999,89612,30986,10
2006,92082,31862,10
2009,95911,33164,10
2011,94027,32535,10
2017,90836,31431,10
1861,125718,NA,11
1866,149641,NA,11
1872,163392,NA,11
1911,242295,66092,11
1962,193349,52741,11
1968,179727,49025,11
1975,159317,43458,11
1982,146931,40079,11
1990,154165,42053,11
1999,149102,40672,11
2006,152436,41536,11
2011,154647,42138,11
2017,147470,40182,11
1861,65748,NA,12
1866,78635,NA,12
1872,87678,13764,12
1936,156729,24604,12
1954,158437,24872,12
1962,161574,25337,12
1968,155982,24460,12
1975,140900,22095,12
1982,138015,21643,12
1990,130257,20426,12
1999,136591,21419,12
2006,141519,22216,12
2009,143128,22469,12
2011,144402,22669,12
2017,141287,22180,12
1861,56798,NA,13
1866,70192,NA,13
1872,67397,NA,13
1962,166709,23329,13
1968,158280,22149,13
1975,163313,22854,13
1982,170818,23904,13
1990,171098,23943,13
1999,171533,24004,13
2006,178716,24995,13
2011,183260,25631,13
2017,183399,25650,13
1861,52594,NA,14
1866,65506,NA,14
1872,69111,NA,14
1954,181414,32274,14
1962,178149,31693,14
1968,167093,29727,14
1975,149137,26532,14
1982,138596,24657,14
1990,136574,24297,14
1999,132844,23554,14
2006,134370,23824,14
2011,140317,24879,14
2017,136941,24280,14
1861,56041,NA,15
1866,69340,NA,15
1872,75449,NA,15
1876,78579,NA,15
1881,102187,NA,15
1886,111212,NA,15
1891,119307,NA,15
1926,232329,NA,15
1931,238797,NA,15
1954,249795,NA,15
1962,251765,NA,15
1968,242506,NA,15
1975,230835,NA,15
1982,225628,NA,15
1990,224205,NA,15
1999,225467,NA,15
2006,232949,NA,15
2009,238914,NA,15
2010,236715,NA,15
2017,235178,NA,15
1861,36728,4643,16
1866,42187,5333,16
1881,63596,8040,16
1901,115344,14582,16
1911,150174,18985,16
1936,192900,24487,16
1962,227418,28985,16
1968,214120,27290,16
1975,193590,24674,16
1982,179446,22871,16
1990,169863,21650,16
1999,161773,20452,16
2006,153920,19459,16
2011,169942,21484,16
2017,168554,21308,16
1861,75228,NA,17
1866,93193,NA,17
1872,98003,NA,17
1954,231987,40922,17
1962,227687,40164,17
1968,210299,37096,17
1975,186293,32862,17
1982,169513,29902,17
1990,161935,28565,17
1999,161138,28375,17
2006,161327,28453,17
2011,170174,30013,17
2017,168737,29760,17
1861,106356,NA,18
1866,130456,NA,18
1872,131700,NA,18
1931,288810,48095,18
1962,254974,42460,18
1968,236776,39430,18
1975,208970,34799,18
1982,186866,31118,18
1990,187657,31250,18
1999,184586,30713,18
2006,192042,31953,18
2011,203127,33798,18
2017,196131,32634,18
1861,76445,NA,19
1866,88930,NA,19
1872,90639,NA,19
1962,159568,23514,19
1968,148862,21937,19
1975,144357,21273,19
1982,162649,23968,19
1990,165062,24324,19
1999,172730,25454,19
2006,186180,27420,19
2007,187603,27629,19
2009,184787,27214,19
2011,186090,27406,19
2017,188066,27697,19
1861,70060,NA,20
1866,87444,NA,20
1872,90158,NA,20
1936,208115,34779,20
1954,199880,33425,20
1962,199310,33307,20
1968,188921,31571,20
1975,175795,29378,20
1982,171971,28738,20
1990,184478,30829,20
1999,182952,30594,20
2010,195303,32659,20
2012,198678,33224,20
2017,196739,32899,20
